yes,5697
no,3019
yeah,1862
yes i do,285
not really,270
sometimes,239
kind of,175
i do,134
yup,105
sure,102
yes yes,86
no not really,71
what,68
i don't know,68
change topic,51
of course,50
it's okay,49
oh yeah,43
i love dogs,43
no no,40
nope,40
i love animals,39
repeat,38
i love them,38
i love it,37
no i don't,36
oh yes,35
yeah i do,34
okay,32
yes i love it,31
a little bit,31
yes do you,27
sort of,26
i guess,25
yes i am,25
what did you say,24
i love cats,22
i am a kid,22
yes i love them,22
do i like what,21
not that much,21
uh yeah,21
no yes,21
of course i do,20
no i hate it,20
a lot,20
yes no,19
yes a lot,19
huh,18
yes very much,17
