yes,1002
yeah,713
no,650
i don't know,434
same,285
me too,188
i agree,147
because,133
sure,92
yup,92
okay,81
it's fun,66
because it's fun,58
it's boring,56
well,51
i don't,47
yeah me too,45
good,38
the same,35
i feel the same way,35
because it's boring,35
what,33
not really,32
repeat,31
they're cute,27
i like dogs,27
same here,26
i don't like it,25
nothing,25
same thing,25
i like,23
what did you say,22
uh,22
i like it,22
they're fun,22
yeah same,21
me,20
yes i do,20
cool,19
i do,18
boring,18
because they're fun,18
because they're cute,18
i,18
i just don't,18
cause,17
2,17
i like animals,16
i guess,16
yes i am,15
