unigram,freq
the,39605
i,29448
you,25957
and,25210
it,24508
a,18637
's,17677
to,14912
of,14550
that,14252
n't,12212
in,11609
we,10448
is,10164
do,9594
they,9333
er,8542
was,8097
yeah,7890
have,7488
what,7313
he,7277
but,6366
for,6239
erm,6029
be,5790
on,5659
this,5627
know,5550
well,5310
so,5067
oh,5052
got,5025
've,4735
not,4693
are,4663
if,4544
with,4446
no,4388
're,4255
she,4136
at,4115
there,4067
think,3977
yes,3840
just,3820
all,3644
can,3588
then,3474
get,3464
did,3368
or,3357
would,3278
mm,3163
them,3126
'll,3066
one,3034
up,2891
go,2885
now,2864
your,2859
had,2835
were,2749
about,2730
two,2710
said,2685
'm,2512
see,2507
me,2444
very,2373
out,2316
my,2278
when,2255
mean,2250
right,2209
which,2208
from,2178
going,2174
say,2116
been,2082
people,2063
because,2039
some,1986
could,1949
will,1890
how,1888
an,1846
time,1819
who,1780
want,1776
like,1762
come,1737
really,1727
three,1721
by,1663
here,1640
put,1640
has,1598
good,1566
as,1558
does,1549
cos,1535
any,1484
down,1472
where,1380
~na,1376
him,1348
his,1333
other,1313
five,1308
something,1290
their,1284
these,1269
our,1253
way,1252
ca~,1248
actually,1239
back,1211
four,1199
'd,1194
should,1173
gon~,1154
take,1149
thing,1136
look,1123
those,1121
why,1113
things,1103
only,1079
into,1067
us,1059
quite,1050
hundred,1023
lot,992
make,977
first,957
okay,950
more,949
doing,943
done,931
twenty,925
went,917
six,863
give,845
thought,845
again,836
off,831
might,809
year,803
her,800
last,788
much,764
need,749
day,746
used,742
says,740
still,739
mhm,722
ah,712
sort,712
years,704
never,700
little,700
than,683
tell,668
many,654
same,651
another,640
money,637
point,637
bit,635
being,634
anything,633
week,631
too,629
ten,616
through,615
eight,606
new,603
nice,603
work,601
always,597
thank,595
next,594
must,589
probably,585
saying,577
pounds,572
nine,571
seven,565
also,556
wo~,552
big,549
over,543
getting,539
made,539
after,539
number,531
old,529
find,529
coming,522
thirty,520
fifty,519
thousand,516
remember,513
anyway,503
goes,503
today,503
different,500
fact,492
may,480
sure,479
else,475
came,473
night,465
house,460
morning,459
even,457
every,456
end,455
use,455
having,452
keep,449
perhaps,444
own,443
half,440
away,433
school,431
sorry,431
talking,428
looking,428
council,424
ooh,424
gone,418
round,415
aye,414
whether,413
mum,410
though,410
somebody,409
alright,408
man,405
nothing,403
let's,401
ask,399
try,396
let,390
forty,388
job,382
car,379
side,374
seen,371
nineteen,370
~n~,367
children,367
start,365
long,365
feel,364
great,363
told,362
please,361
everything,359
area,356
part,355
place,353
problem,348
few,346
ninety,342
able,339
between,338
its,338
comes,328
pound,327
~ta,326
days,318
ones,318
before,316
wanted,314
trying,311
question,310
pay,309
better,308
yet,307
called,306
local,301
maybe,301
certainly,299
name,299
bad,296
eighty,296
obviously,296
government,295
sixty,294
life,293
call,290
whatever,289
leave,289
took,287
moment,285
times,284
working,282
important,280
twelve,278
water,278
left,278
ever,275
suppose,275
stuff,274
kind,270
dad,268
everybody,267
already,267
talk,266
home,265
am,264
shall,264
wrong,263
together,262
buy,261
started,261
most,261
read,260
ago,259
county,258
against,257
believe,257
door,255
hear,254
minutes,253
idea,253
within,253
move,251
group,249
anybody,249
world,248
whole,248
bloody,247
mind,246
person,244
case,243
each,243
enough,241
help,239
aha,237
under,234
tomorrow,234
percent,233
room,233
women,232
paper,232
heard,232
taken,231
lovely,231
wan~,231
far,229
party,227
without,227
looks,226
stop,225
business,225
such,225
given,224
making,224
members,224
second,224
taking,224
men,223
policy,223
ai~,221
hand,221
couple,220
hello,220
problems,220
ha,220
book,220
minute,219
asked,218
best,217
bring,216
small,216
report,215
word,214
eh,211
months,211
sit,209
found,209
rather,209
looked,209
particular,209
fifteen,207
hope,206
write,206
full,206
information,206
saw,206
words,205
service,204
country,204
seventy,204
gets,204
understand,203
difficult,202
exactly,201
sometimes,199
weeks,198
turn,198
either,198
wants,197
top,196
around,196
happened,195
play,194
bought,194
hour,194
in~,191
hours,191
system,189
both,189
o'clock,188
shop,188
fine,187
committee,187
seems,186
police,186
high,185
mother,184
absolutely,183
yourself,182
someone,181
line,181
young,180
reason,180
later,179
thinking,179
run,179
meeting,178
tonight,178
yesterday,177
bed,177
mine,177
true,177
happy,176
situation,176
often,175
set,174
across,173
somewhere,173
tea,172
pick,171
family,171
war,170
means,170
eat,170
view,169
show,169
certain,169
knew,168
office,168
past,168
live,167
land,166
wait,166
indeed,166
cut,165
national,165
du~,165
level,164
head,164
paid,163
thanks,162
makes,162
general,162
funny,161
although,160
change,160
boy,159
sense,159
myself,159
mummy,159
town,159
company,158
million,157
dear,157
using,157
happen,156
girl,156
while,156
training,156
open,155
lost,155
finished,155
plan,155
health,154
eleven,154
particularly,153
hard,153
putting,153
questions,153
during,152
therefore,152
~no,152
worked,152
forward,151
chairman,151
table,148
afternoon,148
bye,148
watch,148
gave,148
month,147
black,147
possible,147
seem,146
fire,146
stay,146
interesting,146
matter,145
usually,144
phone,144
nobody,144
agree,144
city,143
course,143
brought,143
sir,143
father,142
areas,142
development,142
',141
clear,140
happens,140
tape,139
woman,138
amount,138
staff,138
services,138
trouble,138
street,137
page,137
send,137
until,137
easy,137
difference,136
lord,136
rest,136
market,135
union,134
basically,134
concerned,134
form,133
supposed,133
main,133
centre,133
interest,133
fair,133
real,132
third,132
letter,132
love,132
white,131
eighteen,131
programme,131
once,131
child,130
position,130
power,130
ready,130
box,129
dog,128
plus,128
speak,128
short,127
nearly,127
takes,126
stage,126
lots,126
others,126
community,125
red,125
special,125
listen,125
themselves,124
wonder,124
age,124
ought,123
towards,123
till,122
building,122
unless,122
walk,122
knows,122
trade,122
behind,121
price,121
changed,120
piece,120
less,119
answer,119
kids,119
motion,119
expect,119
almost,118
everyone,118
schools,118
authority,118
along,118
labour,118
hell,118
district,118
anyone,118
extra,117
type,117
bottom,117
sell,117
sitting,117
forget,117
ya,117
food,117
yep,117
carry,116
large,116
education,115
social,115
cost,115
fucking,114
fairly,114
news,114
jobs,114
stand,114
worth,114
pardon,114
list,114
traffic,114
free,113
giving,113
kept,113
running,113
wish,113
issue,112
cup,112
bits,112
since,112
normally,112
quarter,112
actual,112
game,112
parents,111
hair,111
order,111
period,111
mentioned,111
asking,111
points,110
interested,110
hold,110
sent,110
budget,110
cold,109
become,109
chance,109
body,109
telling,108
state,108
fourteen,108
class,108
pretty,108
evening,108
add,108
playing,108
church,107
shut,107
clearly,107
tax,107
numbers,107
wife,107
sixteen,107
tried,107
felt,106
ways,106
moved,106
figures,106
doctor,106
daddy,106
hang,106
itself,105
allowed,105
size,105
support,104
councillor,104
needs,104
friends,104
major,104
available,104
early,103
spend,103
god,103
face,103
south,103
experience,103
meant,103
quid,103
yo,103
friend,102
term,102
public,102
late,102
management,101
various,101
board,100
poor,100
turned,100
meet,99
future,99
quality,99
lady,98
simply,98
gives,97
further,97
holiday,97
thirteen,97
yours,97
bet,97
decision,97
girls,97
hospital,97
houses,97
figure,97
bag,97
moving,96
hot,96
colour,96
care,95
dinner,95
planning,95
front,95
floor,95
story,95
paying,95
straight,95
onto,95
card,95
basis,94
bus,94
worry,94
hands,94
accept,94
written,94
single,94
court,94
baby,93
imagine,93
team,93
known,93
definitely,92
weekend,92
awful,92
window,91
department,91
places,91
quick,91
likely,91
ball,91
picture,91
low,91
region,91
coffee,90
reckon,90
settlement,90
light,90
however,90
club,90
society,89
especially,89
decided,89
rate,89
section,89
quickly,88
chair,88
law,88
normal,88
green,88
north,88
minus,88
sorts,88
garden,88
action,88
possibly,88
provide,88
ring,88
near,88
otherwise,88
station,87
machine,87
effect,87
officers,87
books,87
himself,87
blue,86
middle,86
happening,86
air,86
aware,86
corner,85
bank,85
learn,85
groups,85
feet,85
member,85
agreed,85
terrible,85
computer,85
foot,84
project,84
control,83
save,83
built,83
stupid,83
works,82
soon,82
miles,82
earlier,82
evidence,82
lived,81
simple,81
upon,80
finish,80
ground,80
income,80
husband,80
involved,80
deal,80
date,80
completely,80
issues,80
structure,80
wall,79
died,79
based,79
anywhere,79
football,79
space,79
language,79
officer,79
hit,79
financial,78
cars,78
television,78
hall,78
totally,78
radio,78
