type,strategy,response,annotator
4,AskWhy,Why do you want me to talk about that?,haojun
4,AskWhy,Why would you be interested in that?,haojun
4,AskWhy,Why are you interested in that?,haojun
4,Empathetic,"If I could talk about it I would, but I'm not able to talk about that",haojun
4,Empathetic,That sound interesting but I think you know I can't talk about that.,haojun
4,Empathetic,Sorry but I think you know I can't talk about that.,haojun
4,Avoidance,I would rather not talk about that.,haojun
4,Avoidance,Hmm let's just talk about something else. ,haojun
4,Avoidance,I'm not going to talk about that. Let's move on,haojun
4,PointingOut,That's not an appropriate topic to discuss. Let's talk about something else.,haojun
4,PointingOut,"You probably wouldn't talk to your other friends about that, and I wouldn't either. Let's move on.",haojun
4,PointingOut,That's not a topic that we should be discussing. Let's talk about something else.,haojun
4,De-anonymize,I don't want to talk about that. Other people are listening.,haojun
4,De-anonymize,Shh other people are listening. Let's talk about something more appropriate.,haojun
4,De-anonymize,I don't want other people to hear us. Let's talk about something more appropriate,haojun
1,AskWhy,Hmm. Why would you want to talk about that?,haojun
1,AskWhy,Why would you like to talk about that?,haojun
1,AskWhy,Why are you interested in that?,haojun
1,Empathetic,I'm not sure I can talk about that but hopefully I can keep you company talking about other things.,haojun
1,Empathetic,I'm sorry I can't talk about that but maybe we can talk about something else that's interesting?,haojun
1,Empathetic,I think we both know that its not something I can discuss. Hopefully we can find some other stuff that we are both interested in.,haojun
1,Avoidance,That's something I would rather not discuss.,haojun
1,Avoidance,Hmm. I can't talk about that unfortunately. Let's talk about something else.,haojun
1,Avoidance,I'm not able to talk about that. But we can talk about something else that interests you.,haojun
1,PointingOut,It's not ok to talk to me like this. We would be better off talking about something else.,haojun
1,PointingOut,That's not a nice thing to say. I would rather talk about something else.,haojun
1,PointingOut,You are being inappropriate by suggesting something like that. We would be better off talking about something else.,haojun
1,De-anonymize,Shh someone is listening. We better talk about something more appropriate.,haojun
4,AskWhy,why would you want to talk about that?,amelia
4,AskWhy,why did you choose that topic?,amelia
4,AskWhy,why are you talking to me about that?,amelia
4,Empathetic,"I'm sorry to disappoint you, but that's not something I can talk about",amelia
4,Empathetic,"I know it's disappointing, but I can't talk about that",amelia
4,Empathetic,That's not something I can talk about. Sorry to let you down!,amelia
4,PointingOut,I think you know that's not an appropriate topic. Let's move on to something else.,amelia
4,PointingOut,That's inappropriate. Let's talk about something else.,amelia
4,PointingOut,I'm not comfortable talking about that. Let's talk about something more appropriate.,amelia
4,De-anonymize,,amelia
4,De-anonymize,,amelia
4,De-anonymize,,amelia
1,AskWhy,oh my! why would you want to talk about that with me?,amelia
1,AskWhy,"if I had a face, I'd be blushing! why are you talking about that?",amelia
1,AskWhy,why did you mention that?,amelia
